"REF_DATE","GEO","DGUID","New housing price indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-03","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","100.7","E","","","1"
"2019-04","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","100.7","E","","","1"
"2019-05","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","100.7","E","","","1"
"2019-06","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","100.6","E","","","1"
"2019-07","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","100.4","E","","","1"
"2019-08","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","100.4","E","","","1"
"2019-09","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","100.4","E","","","1"
"2019-10","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","100.4","E","","","1"
"2019-11","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","100.3","E","","","1"
"2019-12","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","100.4","E","","","1"
"2020-01","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","100.7","E","","","1"
"2020-02","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","100.8","E","","","1"
"2020-03","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","100.6","E","","","1"
"2020-04","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","100.5","E","","","1"
"2020-05","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","100.5","E","","","1"
"2020-06","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","100.4","E","","","1"
"2020-07","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","100.3","E","","","1"
"2020-08","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","100.4","E","","","1"
"2020-09","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","100.4","E","","","1"
"2020-10","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","100.8","E","","","1"
"2020-11","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","100.7","E","","","1"
"2020-12","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","100.7","E","","","1"
"2021-01","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","100.9","E","","","1"
"2021-02","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","101.0","E","","","1"
"2021-03","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","101.0","E","","","1"
"2021-04","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","100.8","E","","","1"
"2021-05","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","102.4","E","","","1"
"2021-06","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","102.8","E","","","1"
"2021-07","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","102.7","E","","","1"
"2021-08","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","102.8","E","","","1"
"2021-09","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","102.9","E","","","1"
"2021-10","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","102.8","E","","","1"
"2021-11","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","102.9","E","","","1"
"2021-12","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","103.4","E","","","1"
"2022-01","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","103.6","E","","","1"
"2022-02","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","104.1","E","","","1"
"2022-03","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","104.9","E","","","1"
"2022-04","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","105.2","E","","","1"
"2022-05","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","105.6","E","","","1"
"2022-06","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","106.1","E","","","1"
"2022-07","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","105.9","E","","","1"
"2022-08","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","105.7","E","","","1"
"2022-09","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","105.6","E","","","1"
"2022-10","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","105.6","E","","","1"
"2022-11","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","105.5","E","","","1"
